Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,
Definition,0,file_id,time_created,1,,manufacturer,1,,product,1,,type,1,,
Data,0,file_id,time_created,"1013707152",,manufacturer,"32",,product,"0",,type,"4",,
Definition,1,developer_data_id,manufacturer_id,1,,developer_data_index,1,,,,,,,,
Data,1,developer_data_id,manufacturer_id,"32",,developer_data_index,"0",,,,,,,,
Data,1,developer_data_id,manufacturer_id,"32",,developer_data_index,"1",,,,,,,,
Data,1,developer_data_id,manufacturer_id,"32",,developer_data_index,"2",,,,,,,,
Data,1,developer_data_id,manufacturer_id,"32",,developer_data_index,"3",,,,,,,,
Data,1,developer_data_id,manufacturer_id,"32",,developer_data_index,"4",,,,,,,,
Data,1,developer_data_id,manufacturer_id,"32",,developer_data_index,"5",,,,,,,,
Data,1,developer_data_id,manufacturer_id,"32",,developer_data_index,"6",,,,,,,,
Data,1,developer_data_id,manufacturer_id,"32",,developer_data_index,"7",,,,,,,,
Data,1,developer_data_id,manufacturer_id,"32",,developer_data_index,"8",,,,,,,,
Data,1,developer_data_id,manufacturer_id,"32",,developer_data_index,"9",,,,,,,,
Data,1,developer_data_id,manufacturer_id,"32",,developer_data_index,"10",,,,,,,,
Data,1,developer_data_id,manufacturer_id,"32",,developer_data_index,"11",,,,,,,,
Data,1,developer_data_id,manufacturer_id,"32",,developer_data_index,"12",,,,,,,,
Data,1,developer_data_id,manufacturer_id,"32",,developer_data_index,"13",,,,,,,,
Data,1,developer_data_id,manufacturer_id,"32",,developer_data_index,"14",,,,,,,,
Data,1,developer_data_id,manufacturer_id,"32",,developer_data_index,"15",,,,,,,,
Data,1,developer_data_id,manufacturer_id,"32",,developer_data_index,"16",,,,,,,,
Data,1,developer_data_id,manufacturer_id,"32",,developer_data_index,"17",,,,,,,,
Data,1,developer_data_id,manufacturer_id,"32",,developer_data_index,"18",,,,,,,,
Data,1,developer_data_id,manufacturer_id,"32",,developer_data_index,"19",,,,,,,,
Data,1,developer_data_id,manufacturer_id,"95",,developer_data_index,"20",,,,,,,,
Definition,2,field_description,field_name,11,,units,3,,developer_data_index,1,,field_definition_number,1,,fit_base_type_id,1,,
Data,2,field_description,field_name,"calibration",,units,"adc",,developer_data_index,"0",,field_definition_number,"0",,fit_base_type_id,"133",,
Definition,3,field_description,field_name,6,,units,1,,developer_data_index,1,,field_definition_number,1,,fit_base_type_id,1,,
Data,3,field_description,field_name,"charge",,units,"%",,developer_data_index,"1",,field_definition_number,"0",,fit_base_type_id,"2",,
Definition,4,field_description,field_name,18,,units,1,,developer_data_index,1,,field_definition_number,1,,fit_base_type_id,1,,
Data,4,field_description,field_name,"running_smoothness",,units,"%",,developer_data_index,"2",,field_definition_number,"0",,fit_base_type_id,"2",,
Definition,5,field_description,field_name,7,,units,2,,developer_data_index,1,,field_definition_number,1,,fit_base_type_id,1,,
Data,5,field_description,field_name,"time_ms",,units,"ms",,developer_data_index,"3",,field_definition_number,"0",,fit_base_type_id,"143",,
Definition,6,field_description,field_name,14,,developer_data_index,1,,field_definition_number,1,,fit_base_type_id,1,,,,,
Data,6,field_description,field_name,"ant_device_num",,developer_data_index,"4",,field_definition_number,"0",,fit_base_type_id,"132",,,,,
Definition,7,field_description,field_name,12,,units,7,,developer_data_index,1,,field_definition_number,1,,fit_base_type_id,1,,
Data,7,field_description,field_name,"crank_length",,units,"mm x 10",,developer_data_index,"5",,field_definition_number,"0",,fit_base_type_id,"132",,
Definition,8,field_description,field_name,7,,units,5,,developer_data_index,1,,field_definition_number,1,,fit_base_type_id,1,,
Data,8,field_description,field_name,"glucose",,units,"mg/dL",,developer_data_index,"6",,field_definition_number,"0",,fit_base_type_id,"132",,
Definition,9,field_description,field_name,16,,units,12,,developer_data_index,1,,field_definition_number,1,,fit_base_type_id,1,,
Data,9,field_description,field_name,"avg_smoothness_x",,units,"avg per/step",,developer_data_index,"7",,field_definition_number,"0",,fit_base_type_id,"2",,
Data,9,field_description,field_name,"avg_smoothness_y",,units,"avg per/step",,developer_data_index,"8",,field_definition_number,"0",,fit_base_type_id,"2",,
Data,9,field_description,field_name,"avg_smoothness_z",,units,"avg per/step",,developer_data_index,"9",,field_definition_number,"0",,fit_base_type_id,"2",,
Definition,10,field_description,field_name,19,,developer_data_index,1,,field_definition_number,1,,fit_base_type_id,1,,,,,
Data,10,field_description,field_name,"travel_assist_level",,developer_data_index,"10",,field_definition_number,"0",,fit_base_type_id,"2",,,,,
Definition,11,field_description,field_name,36,,units,2,,developer_data_index,1,,field_definition_number,1,,fit_base_type_id,1,,
Data,11,field_description,field_name,"lev_travel_assist_level_time_in_zone",,units,"ms",,developer_data_index,"11",,field_definition_number,"0",,fit_base_type_id,"134",,
Data,3,field_description,field_name,"ascent",,units,"m",,developer_data_index,"12",,field_definition_number,"0",,fit_base_type_id,"132",,
Definition,12,field_description,field_name,17,,units,1,,developer_data_index,1,,field_definition_number,1,,fit_base_type_id,1,,
